USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.3  0.1 225912  9728 ?        Ss   07:42   2:24 /sbin/init splash
root         2  0.0  0.0      0     0 ?        S    07:42   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        I<   07:42   0:00 [rcu_gp]
root         4  0.0  0.0      0     0 ?        I<   07:42   0:00 [rcu_par_gp]
root         6  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/0:0H-kb]
root         9  0.0  0.0      0     0 ?        I<   07:42   0:00 [mm_percpu_wq]
root        10  0.0  0.0      0     0 ?        S    07:42   0:01 [ksoftirqd/0]
root        11  0.1  0.0      0     0 ?        I    07:42   0:51 [rcu_sched]
root        12  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/0]
root        13  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/0]
root        14  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/0]
root        15  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/1]
root        16  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/1]
root        17  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/1]
root        18  0.0  0.0      0     0 ?        S    07:42   0:00 [ksoftirqd/1]
root        20  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/1:0H-kb]
root        21  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/2]
root        22  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/2]
root        23  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/2]
root        24  0.0  0.0      0     0 ?        S    07:42   0:01 [ksoftirqd/2]
root        26  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/2:0H-kb]
root        27  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/3]
root        28  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/3]
root        29  0.0  0.0      0     0 ?        S    07:42   0:02 [migration/3]
root        30  0.0  0.0      0     0 ?        S    07:42   0:00 [ksoftirqd/3]
root        32  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/3:0H-kb]
root        33  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/4]
root        34  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/4]
root        35  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/4]
root        36  0.0  0.0      0     0 ?        S    07:42   0:00 [ksoftirqd/4]
root        38  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/4:0H-kb]
root        39  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/5]
root        40  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/5]
root        41  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/5]
root        42  0.0  0.0      0     0 ?        S    07:42   0:03 [ksoftirqd/5]
root        44  0.0  0.0      0     0 ?        I<   07:42   0:00 [kworker/5:0H-kb]
root        45  0.0  0.0      0     0 ?        S    07:42   0:00 [cpuhp/6]
root        46  0.0  0.0      0     0 ?        S    07:42   0:00 [idle_inject/6]
root        47  0.0  0.0      0     0 ?        S    07:42   0:00 [migration/6]
